Date,Weight_CAC,Weight_FFIC,Weight_FISI,Weight_MOFG,Pos_CAC,Pos_FFIC,Pos_FISI,Pos_MOFG,Close_CAC,Close_FFIC,Close_FISI,Close_MOFG
2015-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3577880859375,14.269286155700684,17.752031326293945,23.30503463745117
2015-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.42840003967285,14.282060623168944,17.976150512695312,22.97939682006836
2015-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.437803268432617,14.109606742858888,17.92341423034668,22.93498611450196
2015-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5696029663086,13.828563690185549,17.745433807373047,22.468748092651367
2015-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.616670608520508,13.777462005615234,17.54767608642578,22.36513900756836
2015-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8284912109375,13.949921607971191,17.719066619873047,21.876684188842773
2015-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.875560760498047,13.988245964050291,17.653148651123047,22.25412940979004
2015-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.08736991882324,14.192636489868164,17.732250213623047,22.33552932739257
2015-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.09678840637207,14.160704612731934,17.699289321899414,22.36513900756836
2015-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.20034408569336,14.30761432647705,17.705883026123047,23.15701484680176
2015-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.13443946838379,14.384257316589355,17.824535369873047,23.12741470336914
2015-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.988529205322266,14.435357093811035,18.107982635498047,23.26803398132324
2015-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.88968276977539,14.492846488952637,18.02887725830078,23.67507553100586
2015-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.157978057861328,14.480069160461426,18.154136657714844,23.60815048217773
2015-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.15327262878418,14.543944358825684,17.976150512695312,23.60815048217773
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.157978057861328,14.658915519714355,17.916818618774414,23.756874084472656
2015-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.167394638061523,14.428970336914062,17.81794548034668,23.63045692443848
2015-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.86614799499512,14.22457790374756,17.771799087524414,23.57840347290039
2015-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.33213424682617,14.467292785644531,18.009105682373047,23.71224975585937
